requirement_id,num_relevant,num_predicted,reciprocal_rank,relevant_found,precision_at_1,recall_at_1,f1_at_1,ndcg_at_1,precision_at_3,recall_at_3,f1_at_3,ndcg_at_3,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,precision_at_10,recall_at_10,f1_at_10,ndcg_at_10
P.9,3,3,1.0,1,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644
P.8,3,3,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822
P.7,1,3,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.6309297535714575,0.3333333333333333,1.0,0.5,0.6309297535714575,0.3333333333333333,1.0,0.5,0.6309297535714575
P.6,7,3,1.0,2,1.0,0.14285714285714285,0.25,1.0,0.6666666666666666,0.2857142857142857,0.4,0.7653606369886217,0.6666666666666666,0.2857142857142857,0.4,0.5531464700081437,0.6666666666666666,0.2857142857142857,0.4,0.4483039899025303
P.5,1,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.4,3,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.3,2,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.2,2,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.1,2,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.23,3,3,1.0,1,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644
O.22,1,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.21,3,3,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7039180890341347
O.20,2,3,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.38685280723454163,0.3333333333333333,0.5,0.4,0.38685280723454163,0.3333333333333333,0.5,0.4,0.38685280723454163
