requirement_id,num_relevant,num_predicted,reciprocal_rank,relevant_found,precision_at_1,recall_at_1,f1_at_1,ndcg_at_1,precision_at_3,recall_at_3,f1_at_3,ndcg_at_3,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,precision_at_10,recall_at_10,f1_at_10,ndcg_at_10
P.9,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,0.6666666666666666,0.5,0.6713860725233041,0.4,0.6666666666666666,0.5,0.6713860725233041
P.8,3,5,0.3333333333333333,3,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.6,1.0,0.7499999999999999,0.6182885020492784,0.6,1.0,0.7499999999999999,0.6182885020492784
P.7,1,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.6309297535714575,0.2,1.0,0.33333333333333337,0.6309297535714575,0.2,1.0,0.33333333333333337,0.6309297535714575
P.6,7,5,1.0,2,1.0,0.14285714285714285,0.25,1.0,0.6666666666666666,0.2857142857142857,0.4,0.7653606369886217,0.4,0.2857142857142857,0.3333333333333333,0.5531464700081437,0.4,0.2857142857142857,0.3333333333333333,0.4483039899025303
P.5,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.4,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.3,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.2,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.1,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.23,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,0.6666666666666666,0.5,0.6713860725233041,0.4,0.6666666666666666,0.5,0.6713860725233041
O.22,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.21,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.4,0.6666666666666666,0.5,0.7039180890341347,0.4,0.6666666666666666,0.5,0.7039180890341347
O.20,2,5,1.0,1,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584
O.19,4,5,0.3333333333333333,2,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575,0.23463936301137822,0.4,0.5,0.4444444444444445,0.36331756126716835,0.4,0.5,0.4444444444444445,0.36331756126716835
O.18,5,5,1.0,4,1.0,0.2,0.33333333333333337,1.0,0.6666666666666666,0.4,0.5,0.7653606369886217,0.8,0.8,0.8000000000000002,0.830419897363192,0.8,0.8,0.8000000000000002,0.830419897363192
O.17,2,5,1.0,1,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584
O.16,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.15,3,5,1.0,3,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.7499999999999999,1.0,0.6,1.0,0.7499999999999999,1.0
O.14,3,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.13,16,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.12,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,0.6666666666666666,0.5,0.6713860725233041,0.4,0.6666666666666666,0.5,0.6713860725233041
O.11,2,5,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.2640681225725909,0.2,0.5,0.28571428571428575,0.2640681225725909
O.10,6,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.9,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.4,0.6666666666666666,0.5,0.7039180890341347,0.4,0.6666666666666666,0.5,0.7039180890341347
O.8,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.7,4,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.6,8,5,1.0,4,1.0,0.125,0.2222222222222222,1.0,1.0,0.375,0.5454545454545454,1.0,0.8,0.5,0.6153846153846154,0.8539316501572937,0.8,0.5,0.6153846153846154,0.6368547259115425
O.5,5,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.25,0.2960819109658652,0.2,0.2,0.20000000000000004,0.21398626473452756,0.2,0.2,0.20000000000000004,0.21398626473452756
O.4,2,5,1.0,1,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584
O.3,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.2,4,4,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575,0.23463936301137822,0.25,0.25,0.25,0.19519002499605084,0.25,0.25,0.25,0.19519002499605084
O.1,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.11,4,5,1.0,1,1.0,0.25,0.4,1.0,0.3333333333333333,0.25,0.28571428571428575,0.46927872602275644,0.2,0.25,0.22222222222222224,0.3903800499921017,0.2,0.25,0.22222222222222224,0.3903800499921017
I.10,3,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652
I.9,7,4,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.2,0.23463936301137822,0.25,0.14285714285714285,0.18181818181818182,0.16958010263680806,0.25,0.14285714285714285,0.18181818181818182,0.13743816645714543
I.8,3,5,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.2,0.3333333333333333,0.25,0.23463936301137822,0.2,0.3333333333333333,0.25,0.23463936301137822
I.7,4,5,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575,0.23463936301137822,0.2,0.25,0.22222222222222224,0.19519002499605084,0.2,0.25,0.22222222222222224,0.19519002499605084
I.6,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.5,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.4,4,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575,0.2960819109658652,0.2,0.25,0.22222222222222224,0.24630238874073,0.2,0.25,0.22222222222222224,0.24630238874073
I.3,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.2,6,5,1.0,2,1.0,0.16666666666666666,0.2857142857142857,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.46927872602275644,0.4,0.3333333333333333,0.3636363636363636,0.4703652827859579,0.4,0.3333333333333333,0.3636363636363636,0.41966500663677697
I.1,4,5,1.0,2,1.0,0.25,0.4,1.0,0.6666666666666666,0.5,0.5714285714285715,0.7653606369886217,0.4,0.5,0.4444444444444445,0.6366824387328317,0.4,0.5,0.4444444444444445,0.6366824387328317
F.19,2,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.38685280723454163,0.2,0.5,0.28571428571428575,0.38685280723454163,0.2,0.5,0.28571428571428575,0.38685280723454163
F.18,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.17,1,5,1.0,1,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.33333333333333337,1.0,0.2,1.0,0.33333333333333337,1.0
F.16,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.15,1,5,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.33333333333333337,0.43067655807339306,0.2,1.0,0.33333333333333337,0.43067655807339306
F.14,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.13,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.12,3,5,1.0,1,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.25,0.46927872602275644,0.2,0.3333333333333333,0.25,0.46927872602275644
F.11,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.10,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.9,2,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.8,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.7,3,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.6,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.5,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.4,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.3,1,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.6309297535714575,0.2,1.0,0.33333333333333337,0.6309297535714575,0.2,1.0,0.33333333333333337,0.6309297535714575
F.2,1,5,1.0,1,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.33333333333333337,1.0,0.2,1.0,0.33333333333333337,1.0
F.1,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.11,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.10,3,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.9,1,2,1.0,1,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,1.0,0.6666666666666666,1.0
