requirement_id,num_relevant,num_predicted,reciprocal_rank,relevant_found,precision_at_1,recall_at_1,f1_at_1,ndcg_at_1,precision_at_3,recall_at_3,f1_at_3,ndcg_at_3,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,precision_at_10,recall_at_10,f1_at_10,ndcg_at_10
P.9,3,5,1.0,1,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.25,0.46927872602275644,0.2,0.3333333333333333,0.25,0.46927872602275644
P.8,3,5,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,0.20210734650054757,0.2,0.3333333333333333,0.25,0.20210734650054757
P.7,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.6,7,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.2,0.2960819109658652,0.2,0.14285714285714285,0.16666666666666666,0.21398626473452756,0.2,0.14285714285714285,0.16666666666666666,0.17342765698823945
P.5,1,5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,1.0,0.33333333333333337,0.38685280723454163
P.4,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.3,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.2,2,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.38685280723454163,0.2,0.5,0.28571428571428575,0.38685280723454163,0.2,0.5,0.28571428571428575,0.38685280723454163
P.1,2,5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.23719771276929622,0.2,0.5,0.28571428571428575,0.23719771276929622
O.23,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.4,0.6666666666666666,0.5,0.7039180890341347,0.4,0.6666666666666666,0.5,0.7039180890341347
O.22,1,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.6309297535714575,0.2,1.0,0.33333333333333337,0.6309297535714575,0.2,1.0,0.33333333333333337,0.6309297535714575
O.21,3,5,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,0.20210734650054757,0.2,0.3333333333333333,0.25,0.20210734650054757
O.20,2,5,1.0,1,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584
O.19,4,5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.22222222222222224,0.15101961822780524,0.2,0.25,0.22222222222222224,0.15101961822780524
