requirement_id,num_relevant,num_predicted,reciprocal_rank,relevant_found,precision_at_1,recall_at_1,f1_at_1,ndcg_at_1,precision_at_3,recall_at_3,f1_at_3,ndcg_at_3,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,precision_at_10,recall_at_10,f1_at_10,ndcg_at_10
P.9,3,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652
P.8,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.7,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.6,7,5,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.2,0.23463936301137822,0.2,0.14285714285714285,0.16666666666666666,0.16958010263680806,0.2,0.14285714285714285,0.16666666666666666,0.13743816645714543
P.5,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.4,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.3,2,5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.23719771276929622,0.2,0.5,0.28571428571428575,0.23719771276929622
P.2,2,5,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.2640681225725909,0.2,0.5,0.28571428571428575,0.2640681225725909
P.1,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.23,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,0.6666666666666666,0.5,0.6713860725233041,0.4,0.6666666666666666,0.5,0.6713860725233041
O.22,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.21,3,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652
O.20,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.19,4,5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.22222222222222224,0.15101961822780524,0.2,0.25,0.22222222222222224,0.15101961822780524
O.18,5,5,0.5,3,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.5,0.5307212739772434,0.6,0.6,0.6,0.5296347172140421,0.6,0.6,0.6,0.5296347172140421
O.17,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.16,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.15,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.14,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.13,16,5,1.0,1,1.0,0.0625,0.11764705882352941,1.0,0.3333333333333333,0.0625,0.10526315789473684,0.46927872602275644,0.2,0.0625,0.09523809523809523,0.3391602052736161,0.2,0.0625,0.09523809523809523,0.22009176629808017
O.12,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,0.6666666666666666,0.5,0.6713860725233041,0.4,0.6666666666666666,0.5,0.6713860725233041
O.11,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.10,6,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.9,3,5,1.0,2,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.4,0.6666666666666666,0.5,0.7653606369886217,0.4,0.6666666666666666,0.5,0.7653606369886217
O.8,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.7,4,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.6,8,5,0.5,2,0.0,0.0,0.0,0.0,0.3333333333333333,0.125,0.18181818181818182,0.2960819109658652,0.4,0.25,0.3076923076923077,0.36005461457723403,0.4,0.25,0.3076923076923077,0.26852556974265224
O.5,5,5,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.20000000000000004,0.13120507751234178,0.2,0.2,0.20000000000000004,0.13120507751234178
O.4,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.3,1,5,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.2,1.0,0.33333333333333337,0.5,0.2,1.0,0.33333333333333337,0.5
O.2,4,5,1.0,1,1.0,0.25,0.4,1.0,0.3333333333333333,0.25,0.28571428571428575,0.46927872602275644,0.2,0.25,0.22222222222222224,0.3903800499921017,0.2,0.25,0.22222222222222224,0.3903800499921017
O.1,3,5,1.0,1,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.25,0.46927872602275644,0.2,0.3333333333333333,0.25,0.46927872602275644
I.11,4,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575,0.2960819109658652,0.2,0.25,0.22222222222222224,0.24630238874073,0.2,0.25,0.22222222222222224,0.24630238874073
I.10,3,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652
I.9,7,5,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.2,0.23463936301137822,0.2,0.14285714285714285,0.16666666666666666,0.16958010263680806,0.2,0.14285714285714285,0.16666666666666666,0.13743816645714543
I.8,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.7,4,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575,0.2960819109658652,0.2,0.25,0.22222222222222224,0.24630238874073,0.2,0.25,0.22222222222222224,0.24630238874073
I.6,3,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652,0.2,0.3333333333333333,0.25,0.2960819109658652
I.5,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.4,4,5,0.5,2,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715,0.5307212739772434,0.4,0.5,0.4444444444444445,0.44149241373678083,0.4,0.5,0.4444444444444445,0.44149241373678083
I.3,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I.2,6,5,1.0,2,1.0,0.16666666666666666,0.2857142857142857,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.46927872602275644,0.4,0.3333333333333333,0.3636363636363636,0.48522855511632257,0.4,0.3333333333333333,0.3636363636363636,0.4329261794091841
I.1,4,5,1.0,1,1.0,0.25,0.4,1.0,0.3333333333333333,0.25,0.28571428571428575,0.46927872602275644,0.2,0.25,0.22222222222222224,0.3903800499921017,0.2,0.25,0.22222222222222224,0.3903800499921017
F.19,2,5,1.0,1,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.4,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584,0.2,0.5,0.28571428571428575,0.6131471927654584
F.18,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.17,1,5,1.0,1,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.33333333333333337,1.0,0.2,1.0,0.33333333333333337,1.0
F.16,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F.15,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
