requirement_id,num_relevant,num_predicted,reciprocal_rank,relevant_found,precision_at_1,recall_at_1,f1_at_1,ndcg_at_1,precision_at_3,recall_at_3,f1_at_3,ndcg_at_3,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,precision_at_10,recall_at_10,f1_at_10,ndcg_at_10
P.9,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.8,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.7,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.6,7,5,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.16666666666666666,0.14606834984270645,0.2,0.14285714285714285,0.16666666666666666,0.11838279295536291
P.5,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.4,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.3,2,5,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.3065735963827292,0.2,0.5,0.28571428571428575,0.3065735963827292,0.2,0.5,0.28571428571428575,0.3065735963827292
P.2,2,5,0.5,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.38685280723454163,0.2,0.5,0.28571428571428575,0.38685280723454163,0.2,0.5,0.28571428571428575,0.38685280723454163
P.1,2,5,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.28571428571428575,0.2640681225725909,0.2,0.5,0.28571428571428575,0.2640681225725909
O.23,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.22,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.21,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.20,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.19,4,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.18,5,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.17,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.16,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.15,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.14,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.13,16,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.12,3,5,0.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6666666666666666,0.5,0.38364913903790027,0.4,0.6666666666666666,0.5,0.38364913903790027
O.11,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.10,6,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.9,3,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.8,3,5,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.2,0.3333333333333333,0.25,0.23463936301137822,0.2,0.3333333333333333,0.25,0.23463936301137822
O.7,4,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.6,8,5,1.0,1,1.0,0.125,0.2222222222222222,1.0,0.3333333333333333,0.125,0.18181818181818182,0.46927872602275644,0.2,0.125,0.15384615384615385,0.3391602052736161,0.2,0.125,0.15384615384615385,0.2529427027676571
O.5,5,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.4,2,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.3,1,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O.2,4,5,0.3333333333333333,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575,0.23463936301137822,0.2,0.25,0.22222222222222224,0.19519002499605084,0.2,0.25,0.22222222222222224,0.19519002499605084
