Requirement Name,Requirement Text
P Performance,"The system shall achieve superior performance metrics in ZBLAN fiber production, including fiber quality, production rate, yield, and consistency. It shall demonstrate commercial viability through competitive pricing and multiple revenue streams, while ensuring energy efficiency and rapid production recovery after interruptions."
P.13 Fault Isolation,The system shall be capable of isolating faults to the component level and automatically reconfiguring to maintain at least 80% of normal operational capacity in the event of non-critical component failures.
P.12 Power Management,"The system shall implement dynamic power management to optimize energy usage across different operational modes, with the ability to reduce power consumption by up to 30% during non-critical operations."
P.11 Environmental Monitoring,"The system shall continuously monitor its internal environment for contaminants that could affect ZBLAN fiber quality, with the ability to detect particles as small as 0.1 microns."
P.10 Microgravity Disturbance Detection,The system shall detect microgravity disturbances with a sensitivity of 10^-7 g within 0.5 seconds of occurrence.
P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.
P.9.9 Thermal Storage Capacity,The thermal management system shall include thermal storage capacity of 500 kWh (threshold) and 750 kWh (objective) to handle peak loads and optimize power usage.
P.9.8 Power Distribution to ZBLAN Units,The power distribution system shall be capable of supplying up to 15 kW of power to each individual fiber drawing unit simultaneously.
P.9.7 ZBLAN Thermal Isolation,The ZBLAN production areas shall have a maximum heat leakage of 100 W per square meter of isolating surface (threshold) and 75 W per square meter (objective).
P.9.6 Temperature Monitoring Frequency,The system shall provide continuous temperature monitoring with an update frequency of 1 Hz (threshold) and 2 Hz (objective).
P.9.5 Temperature Monitoring Resolution,The system shall provide temperature monitoring with a resolution of 0.1°C (threshold) and 0.05°C (objective) in ZBLAN production areas.
P.9.4 ZBLAN Temperature Ramp Rate,The thermal management system shall achieve a temperature ramp rate of 1°C per minute (threshold) and 1.5°C per minute (objective) in ZBLAN production areas.
P.9.3 ZBLAN Temperature Uniformity,The system shall ensure temperature uniformity within ±0.2°C across the ZBLAN production volume (threshold) and within ±0.1°C (objective).
P.9.2 ZBLAN Temperature Stability,The thermal management system shall maintain temperature stability within ±0.5°C over a 1-hour period in ZBLAN production areas (threshold) and within ±0.3°C (objective).
P.9.1 ZBLAN Production Temperature Range,The system shall maintain the temperature for ZBLAN production between 300°C and 400°C (threshold) and 310°C to 390°C (objective).
P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes."
P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches."
P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality."
P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber"
P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis."
P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.
P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.
P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 μm wavelength.
O Operational,"The system shall operate continuously and securely in the space environment, producing high-quality ZBLAN fibers while maintaining operational availability, autonomy, and microgravity conditions. It shall be capable of scaling production, handling multiple materials, and ensuring radiation protection."
O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.
O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.
O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.
O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.
O.20.1 Heat Rejection Capacity,"The thermal management system shall achieve a heat rejection capacity of at least 10 W/kg (threshold) under normal operating conditions, with an objective of 60 W/kg or greater. This capacity is defined as the total heat rejection in watts divided by the total mass of the radiator system in kilograms."
O.20.2 Redundancy,The thermal management system shall include N+1 redundancy for critical components (threshold) and N+2 redundancy (objective).
O.20.3 Radiator System Mass,The total mass of the radiator system shall not exceed 2800kg (threshold) and 200kg (objective).
O.20.4 Radiator Deployed Area,The total deployed area of the radiator system shall not exceed 200m² (threshold) and 50m² (objective) while meeting the required heat rejection capacity.
O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis."
O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.
O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis."
O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures."
O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime."
O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime
O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks."
O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.
O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations."
O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation."
O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios."
O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications."
O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests."
O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure."
O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.
O.5.1 Mean Time Between Failures (MTBF),The system shall achieve a Mean Time Between Failures (MTBF) of at least 500 hours.
O.5.2 Mean Time To Repair (MTTR),"The system shall achieve a Mean Time To Repair (MTTR) of no more than 24 hours, considering the challenges of in-orbit servicing."
O.5.2.1 Mean Time To Transport (MTTT),"The system shall achieve a Mean Time To Transport (MTTT) of no more than 12 hours for necessary repair components, considering orbital logistics."
O.5.2.2 Mean Time To Detect (MTTD),The system shall achieve a Mean Time To Detect (MTTD) of failures within 10 minutes.
O.5.2.3 Mean Time To Diagnose (MTTDg),The system shall achieve a Mean Time To Diagnose (MTTDg) of no more than 30 minutes for identified failures.
O.5.2.4 Mean Time To Isolate (MTTI),The system shall achieve a Mean Time To Isolate (MTTI) of no more than 15 minutes to isolate the affected system components.
