ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Semantic Score,BM25 Score,Lexical Score,Entity Score
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,4.1.4 Store Preform at Target Parameters,0.711,0.603,1.4,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,5.1.3 Redirect Operations (Reconfiguration after faults),0.577,0.618,0.824,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.3 Detect Production Anomalies,0.562,0.534,0.937,0.071,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.561,0.624,0.723,0.059,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,3.1.2 Report Safety Incidents (Automated logging and reporting),0.555,0.624,0.722,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",4.1.5 Transfer Preform to Production,0.656,0.533,1.347,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",6.1.1 Capture Sensor Data (Automated and continuous),0.516,0.507,0.849,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.2.1 Collect Real-Time Production Data,0.499,0.514,0.762,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",5.1.3 Redirect Operations (Reconfiguration after faults),0.493,0.59,0.558,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",3.3.2 Implement Collision Avoidance Maneuvers,0.491,0.574,0.586,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.3 Heat Preform,0.63,0.472,1.387,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",4.1.4 Store Preform at Target Parameters,0.557,0.627,0.724,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.4 Draw Fiber from Preform,0.547,0.539,0.896,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",5.1.3 Redirect Operations (Reconfiguration after faults),0.52,0.634,0.558,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.2.3 Detect Production Anomalies,0.517,0.541,0.74,0.071,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.1.4 Draw Fiber from Preform,0.655,0.496,1.4,0.071,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",4.1.4 Store Preform at Target Parameters,0.558,0.587,0.821,0.0,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.528,0.648,0.534,0.059,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",5.1.3 Redirect Operations (Reconfiguration after faults),0.528,0.59,0.695,0.0,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",2.1.5.2 Remote Monitoring of Repair Testing,0.512,0.515,0.811,0.0,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",1.1.5 Cool/ Anneal Fiber,0.645,0.437,1.507,0.056,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",3.1.2 Report Safety Incidents (Automated logging and reporting),0.561,0.562,0.896,0.0,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",3.2.1 Detect Safety Hazards (Autonomous hazard detection),0.518,0.567,0.709,0.0,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.5,0.509,0.78,0.0,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",2.4.3 Adjust Operations for Radiation Protection,0.48,0.492,0.739,0.0,0.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",1.1.6 Spool Fiber,0.638,0.418,1.547,0.0,0.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",4.1.2 Request Resupply (Autonomous resupply request),0.612,0.684,0.606,0.0,1.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.61,0.674,0.621,0.0,1.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",2.1.5 Test System After Repairs,0.593,0.593,0.728,0.05,1.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",3.3.3 Execute End-of-Life Deorbiting Procedures,0.561,0.668,0.44,0.0,1.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.7 Monitor Fiber Quality,0.619,0.49,1.255,0.111,0.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,3.1.2 Report Safety Incidents (Automated logging and reporting),0.517,0.629,0.557,0.0,0.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.513,0.64,0.516,0.0,0.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,5.1.3 Redirect Operations (Reconfiguration after faults),0.495,0.627,0.475,0.0,0.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.2.1 Collect Real-Time Production Data,0.487,0.573,0.571,0.0,0.0
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,4.1.4 Store Preform at Target Parameters,0.596,0.61,0.92,0.0,0.0
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.586,0.594,0.89,0.071,0.0
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.1.8 Correct Defects,0.581,0.44,1.269,0.0,0.0
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,5.1.3 Redirect Operations (Reconfiguration after faults),0.565,0.599,0.824,0.0,0.0
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,7.2.1 Prepare for Software Installation/Update,0.554,0.553,0.89,0.0,0.0
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.715,0.64,1.323,0.0,0.0
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,3.1.2 Report Safety Incidents (Automated logging and reporting),0.605,0.643,0.876,0.0,0.0
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,7.2.1 Prepare for Software Installation/Update,0.59,0.613,0.89,0.0,0.0
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.8 Correct Defects,0.548,0.543,0.89,0.0,0.0
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,5.1.3 Redirect Operations (Reconfiguration after faults),0.547,0.631,0.675,0.0,0.0
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.2.1 Collect Real-Time Production Data,0.697,0.58,1.397,0.0,0.0
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,6.2.3 Generate Optimization Suggestions (Autonomous optimization algorithms),0.575,0.608,0.84,0.0,0.0
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,2.3.6 Insulate System Thermally,0.566,0.539,0.94,0.077,0.0
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,5.1.3 Redirect Operations (Reconfiguration after faults),0.549,0.604,0.746,0.0,0.0
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,6.2.2 Identify Performance Bottlenecks,0.53,0.59,0.704,0.0,0.0
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.2.2 Analyze Production Efficiency,0.65,0.483,1.439,0.0,0.0
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.589,0.644,0.785,0.062,0.0
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.3.2 Detect Off-Nominal Microgravity Conditions,0.547,0.649,0.633,0.0,0.0
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,3.1.2 Report Safety Incidents (Automated logging and reporting),0.522,0.638,0.557,0.0,0.0
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.518,0.649,0.516,0.0,0.0
