ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Semantic Score,BM25 Score,Lexical Score,Entity Score
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.5 Cool/ Anneal Fiber,0.441,0.551,0.411,0.077,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,4.1.4 Store Preform at Target Parameters,0.411,0.102,1.4,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.6 Insulate System Thermally,0.402,0.367,0.7,0.071,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.3 Transfer Heat Away,0.396,0.406,0.611,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.2 Regulate System Temperature,0.396,0.387,0.592,0.154,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.8 Store Electrical Energy,0.416,0.352,0.786,0.083,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",4.1.5 Transfer Preform to Production,0.408,0.119,1.347,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.2.1 Collect Real-Time Production Data,0.37,0.3,0.762,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.1.3.2 Rotate Heater Stage,0.369,0.277,0.812,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",3.1.1 Monitor Safety Standards (Automated safety checks),0.343,0.313,0.62,0.0,0.0
