ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Dense Semantic,BM25 Score,Syntactic Score,Domain Weighted,Query Expansion
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.2 Regulate System Temperature,1.419,0.507,5.853,0.168,0.027,0.091
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,6.1.1.1 Measure Temperature,1.384,0.414,5.948,0.084,0.027,0.091
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.1 Monitor Thermal Environment,1.202,0.48,4.819,0.188,0.0,0.091
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.2.2 Condition Power,1.192,0.426,5.006,0.084,0.041,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.3.1 Monitor Microgravity Conditions,1.161,0.516,4.585,0.168,0.041,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.8 Store Electrical Energy,1.395,0.415,5.912,0.062,0.011,0.333
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.2.2 Analyze Production Efficiency,1.308,0.437,5.447,0.209,0.021,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.3 Distribute Power,1.007,0.375,4.119,0.133,0.063,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.2 Condition Power,1.005,0.392,4.119,0.09,0.063,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.5 Transmit Electrical Power,0.966,0.42,3.773,0.1,0.063,0.167
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),1.287,0.545,5.06,0.282,0.011,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.7 Monitor Fiber Quality,1.078,0.484,4.205,0.19,0.057,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",4.1.5 Transfer Preform to Production,0.933,0.57,3.245,0.186,0.187,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",4.2.5 Store Manufactured Product,0.928,0.462,3.652,0.019,0.089,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.2.3 Detect Production Anomalies,0.922,0.541,3.245,0.19,0.187,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.1.7 Monitor Fiber Quality,1.579,0.458,6.788,0.1,0.184,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",5.1.1 Initiate System Restarts,1.357,0.436,5.853,0.061,0.0,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",4.1.5 Transfer Preform to Production,0.899,0.535,3.245,0.114,0.133,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.2.2 Analyze Production Efficiency,0.872,0.475,3.245,0.1,0.133,0.0
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.2.3 Detect Production Anomalies,0.867,0.463,3.245,0.1,0.133,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",4.2.5 Store Manufactured Product,1.762,0.417,7.857,0.087,0.063,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",4.1.4 Store Preform at Target Parameters,1.252,0.555,5.025,0.118,0.012,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",6.2.2 Identify Performance Bottlenecks,1.082,0.516,4.205,0.15,0.044,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",6.1.3 Store Performance Data,1.016,0.401,4.205,0.051,0.044,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",6.2.1 Evaluate Performance Metrics (Autonomous analysis),0.966,0.496,3.6,0.217,0.044,0.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",7.1.8 Support Platform Structure,1.076,0.505,4.047,0.247,0.016,0.133
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),1.072,0.598,3.752,0.398,0.028,0.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",2.1.3.2 Analyze Faults (Autonomous fault analysis),1.058,0.59,3.752,0.344,0.028,0.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",4.2.5 Store Manufactured Product,0.98,0.486,3.652,0.244,0.063,0.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",2.1.3.1 Monitor Sensor Data (Remote diagnostics support),0.977,0.637,3.231,0.339,0.016,0.067
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,0.957,0.604,3.126,0.339,0.222,0.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.5 Cool/ Anneal Fiber,0.857,0.573,2.82,0.07,0.5,0.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.6 Spool Fiber,0.829,0.49,2.82,0.096,0.5,0.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.4 Draw Fiber from Preform,0.795,0.476,2.583,0.19,0.5,0.0
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.7 Monitor Fiber Quality,0.784,0.49,2.583,0.191,0.333,0.0
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.2.5.4 Amplify Low Rate Transmission,1.021,0.518,3.879,0.168,0.046,0.0
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.2.5.2 Amplify High Rate Transmission,1.019,0.513,3.879,0.168,0.046,0.0
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.2.5.3 Transmit Low Rate Signal,1.012,0.496,3.879,0.168,0.046,0.0
