ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Dense Semantic,BM25 Score,Syntactic Score,Domain Weighted,Query Expansion
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,4.1.4 Store Preform at Target Parameters,0.466,0.603,1.0,0.124,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.4 Generate Production Reports,0.387,0.449,0.804,0.168,0.133,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.2 Regulate System Temperature,0.368,0.507,0.304,0.168,0.572,0.143
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,7.1.5 Control Antenna Position,0.362,0.553,0.618,0.084,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.3 Detect Production Anomalies,0.351,0.534,0.451,0.168,0.133,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",4.1.5 Transfer Preform to Production,0.449,0.533,1.0,0.18,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.1.5 Test System After Repairs,0.328,0.54,0.026,0.18,0.703,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.3.2 Regulate System Temperature,0.305,0.466,0.031,0.209,0.703,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",3.3.2 Implement Collision Avoidance Maneuvers,0.304,0.574,0.164,0.209,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",3.3.3 Execute End-of-Life Deorbiting Procedures,0.3,0.614,0.024,0.247,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.3 Heat Preform,0.403,0.472,1.0,0.07,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.4 Draw Fiber from Preform,0.36,0.539,0.514,0.209,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.1.5 Test System After Repairs,0.356,0.599,0.088,0.186,0.619,0.0
