ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Semantic Score,Bm25 Score,Lexical Score,Domain Score,Length_norm Score
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,4.1.4 Store Preform at Target Parameters,0.454,0.102,1.395,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.3 Heat Preform,0.327,0.33,0.704,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.4 Draw Fiber from Preform,0.381,0.251,0.859,0.071,0.105,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.5 Cool/ Anneal Fiber,0.354,0.551,0.413,0.077,0.105,0.204
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.6 Spool Fiber,0.222,0.385,0.165,0.077,0.105,0.204
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.7 Monitor Fiber Quality,0.287,0.247,0.552,0.071,0.105,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.8 Correct Defects,0.333,0.116,0.974,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.332,0.249,0.723,0.059,0.086,0.118
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.1 Collect Real-Time Production Data,0.254,0.156,0.569,0.062,0.086,0.129
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.2 Analyze Production Efficiency,0.306,0.3,0.564,0.071,0.086,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.3 Detect Production Anomalies,0.387,0.162,0.995,0.071,0.086,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.4 Generate Production Reports,0.379,0.074,1.072,0.071,0.086,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.1.2 Calibrate System,0.318,0.219,0.556,0.077,0.354,0.204
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.1.3 Detect Faults,0.217,-0.005,0.727,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.1.4 Repair System,0.364,0.129,0.814,0.077,0.354,0.204
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.1.5 Test System After Repairs,0.212,0.048,0.409,0.071,0.354,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.2 Regulate System Temperature,0.406,0.387,0.586,0.154,0.367,0.333
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.4.1 Monitor Radiation Levels,0.238,0.149,0.621,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.4.3 Adjust Operations for Radiation Protection,0.285,0.224,0.687,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,3.1.2 Report Safety Incidents (Automated logging and reporting),0.258,0.097,0.746,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,3.1.3 Implement Policy Changes,0.237,0.128,0.641,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.241,0.45,0.176,0.059,0.105,0.118
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,5.1.1 Initiate System Restarts,0.275,0.004,0.671,0.071,0.354,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,5.1.2 Activate Backup Systems,0.3,0.062,0.687,0.071,0.354,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,5.1.3 Redirect Operations (Reconfiguration after faults),0.26,0.025,0.838,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,7.1.3 Install Hardware Modules,0.216,-0.002,0.723,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,7.2.1 Prepare for Software Installation/Update,0.228,0.032,0.723,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,7.2.2 Upload Software,0.232,-0.04,0.819,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.6.3 Measure Tension,0.243,0.176,0.603,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.5.2 Amplify High Rate Transmission,0.233,0.21,0.532,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.2.5.4 Amplify Low Rate Transmission,0.228,0.171,0.559,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.2.8 Store Electrical Energy,0.219,0.108,0.603,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.3 Transfer Heat Away,0.323,0.406,0.603,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.5 Radiate Heat,0.337,0.347,0.717,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.6 Insulate System Thermally,0.408,0.367,0.69,0.071,0.354,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,6.1.1.4 Measure Magnetic Field,0.26,0.102,0.748,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,6.1.1.6 Track Sun Position,0.227,0.019,0.734,0.0,0.0,0.0
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,7.1.5 Control Antenna Position,0.249,0.024,0.803,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",4.1.5 Transfer Preform to Production,0.457,0.119,1.383,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.1.7 Monitor Fiber Quality,0.242,0.136,0.649,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.2.1 Collect Real-Time Production Data,0.334,0.3,0.764,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.2.2 Analyze Production Efficiency,0.243,0.453,0.203,0.083,0.016,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.1.1 Inspect System,0.217,0.205,0.182,0.091,0.441,0.224
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.1.2 Calibrate System,0.35,0.24,0.585,0.091,0.441,0.224
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.1.3 Detect Faults,0.207,0.065,0.615,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.1.4 Repair System,0.216,0.202,0.182,0.091,0.441,0.224
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.1 Generate Solar Power,0.325,0.297,0.637,0.083,0.053,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.3 Distribute Power,0.331,0.219,0.739,0.091,0.053,0.224
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.3.2 Regulate System Temperature,0.261,0.333,0.188,0.083,0.441,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",3.1.1 Monitor Safety Standards (Automated safety checks),0.294,0.313,0.615,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",3.3.2 Implement Collision Avoidance Maneuvers,0.203,0.065,0.602,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",4.1.2 Request Resupply (Autonomous resupply request),0.204,0.182,0.469,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",4.1.3 Receive Resupply,0.204,0.088,0.577,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",5.1.2 Activate Backup Systems,0.3,0.118,0.569,0.083,0.441,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",6.1.1 Capture Sensor Data (Automated and continuous),0.301,0.2,0.772,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",6.2.2 Identify Performance Bottlenecks,0.263,0.139,0.715,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",6.2.3 Generate Optimization Suggestions (Autonomous optimization algorithms),0.3,0.216,0.747,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",7.1.2 Prepare for Hardware Installation,0.209,0.075,0.611,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",8.1.2 Calculate Orbital Adjustments,0.204,0.074,0.593,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.1.3.2 Rotate Heater Stage,0.345,0.277,0.828,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.8 Store Electrical Energy,0.38,0.352,0.777,0.083,0.01,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",6.1.1.4 Measure Magnetic Field,0.222,0.05,0.681,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",6.1.1.5 Track Stellar Position,0.241,0.104,0.681,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",4.1.4 Store Preform at Target Parameters,0.25,0.096,0.72,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.3 Heat Preform,0.495,0.14,1.485,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.4 Draw Fiber from Preform,0.317,0.057,0.991,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.6 Spool Fiber,0.216,0.213,0.472,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.7 Monitor Fiber Quality,0.211,0.317,0.25,0.071,0.043,0.16
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.8 Correct Defects,0.307,0.213,0.774,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.2.1 Collect Real-Time Production Data,0.297,0.275,0.569,0.062,0.094,0.124
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.2.2 Analyze Production Efficiency,0.213,0.34,0.203,0.071,0.094,0.16
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.2.3 Detect Production Anomalies,0.375,0.296,0.794,0.071,0.094,0.16
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.2.4 Generate Production Reports,0.28,0.218,0.569,0.071,0.094,0.16
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.1.2 Calibrate System,0.352,0.284,0.577,0.077,0.388,0.196
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.1.3 Detect Faults,0.212,0.082,0.61,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.1.4 Repair System,0.324,0.194,0.587,0.077,0.388,0.196
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.1.5 Test System After Repairs,0.271,0.205,0.409,0.071,0.388,0.16
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.4.1 Monitor Radiation Levels,0.221,0.099,0.621,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",4.1.1 Track Resources (Automated tracking),0.209,0.13,0.546,0.0,0.0,0.0
