ID,Requirement Name,Requirement Text,Activity Name,Activity Verbs,Activity Nouns,VerbNoun Score,Similarity Score,Combined Score
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.545,0.532
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.2 Regulate System Temperature,regulate,"system, temperature",0.5,0.507,0.505
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.3.2 Detect Off-Nominal Microgravity Conditions,detect,"microgravity, condition",0.25,0.613,0.504
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,adjust,"manufacturing, parameter, condition",0.167,0.633,0.493
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.639,0.485
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.5 Transmit Electrical Power,transmit,power,0.5,0.42,0.444
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,adjust,"manufacturing, parameter, condition",0.167,0.557,0.44
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.6 Manage Electrical Power,manage,power,0.5,0.402,0.432
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.0,0.614,0.43
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.54,0.428
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.1.5 Test System After Repairs,,"test, system, repair",0.167,0.599,0.469
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.9 Adjust Production Parameters (Autonomous feedback loop),,"adjust, production, parameter, feedback, loop",0.1,0.612,0.458
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.2.3 Detect Production Anomalies,detect,"production, anomaly",0.25,0.541,0.454
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.0,0.648,0.453
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",4.1.5 Transfer Preform to Production,,"transfer, preform, production",0.167,0.57,0.449
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.1.5 Cool/ Anneal Fiber,,fiber,0.5,0.523,0.516
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),prepare,"fiber, transport, handling, packaging",0.125,0.648,0.491
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.1.7 Monitor Fiber Quality,monitor,"fiber, quality",0.5,0.458,0.471
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,adjust,"manufacturing, parameter, condition",0.0,0.658,0.461
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",3.3.3 Execute End-of-Life Deorbiting Procedures,execute,"end, life, deorbiting, procedure",0.0,0.656,0.459
