ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Semantic Score,BM25 Score,Lexical Score,Domain Score,Length Norm Score
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.2 Regulate System Temperature,0.474,0.387,0.592,0.154,0.593,0.333
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.5 Cool/ Anneal Fiber,0.466,0.551,0.411,0.077,0.17,0.204
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.6 Insulate System Thermally,0.449,0.367,0.7,0.071,0.573,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.4 Draw Fiber from Preform,0.37,0.251,0.855,0.071,0.17,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.3 Transfer Heat Away,0.366,0.406,0.611,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.8 Store Electrical Energy,0.405,0.352,0.786,0.083,0.016,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.1.2 Calibrate System,0.364,0.24,0.544,0.091,0.709,0.224
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.2.2 Analyze Production Efficiency,0.352,0.453,0.212,0.083,0.026,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.1 Generate Solar Power,0.345,0.297,0.619,0.083,0.086,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.3.2 Regulate System Temperature,0.344,0.333,0.191,0.083,0.709,0.183
