ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Dense Semantic,BM25 Score,Syntactic Score,Domain Weighted,Query Expansion
P.9,P.9 Thermal Precision,P.9 Thermal Precision,2.3.2 Regulate System Temperature,1.424,0.507,5.853,0.168,0.169,0.0
P.9,P.9 Thermal Precision,P.9 Thermal Precision,6.1.1.1 Measure Temperature,1.373,0.414,5.948,0.084,0.007,0.0
P.9,P.9 Thermal Precision,P.9 Thermal Precision,2.3.1 Monitor Thermal Environment,1.193,0.48,4.819,0.188,0.0,0.0
P.9,P.9 Thermal Precision,P.9 Thermal Precision,2.2.2 Condition Power,1.189,0.426,5.006,0.084,0.011,0.0
P.9,P.9 Thermal Precision,P.9 Thermal Precision,1.3.1 Monitor Microgravity Conditions,1.158,0.516,4.585,0.168,0.011,0.0
P.8,P.8 Energy Efficiency,P.8 Energy Efficiency,2.2.8 Store Electrical Energy,1.361,0.415,5.912,0.062,0.004,0.0
P.8,P.8 Energy Efficiency,P.8 Energy Efficiency,1.2.2 Analyze Production Efficiency,1.307,0.437,5.447,0.209,0.005,0.0
P.8,P.8 Energy Efficiency,P.8 Energy Efficiency,2.2.3 Distribute Power,1.003,0.375,4.119,0.133,0.023,0.0
P.8,P.8 Energy Efficiency,P.8 Energy Efficiency,2.2.2 Condition Power,1.001,0.392,4.119,0.09,0.023,0.0
P.8,P.8 Energy Efficiency,P.8 Energy Efficiency,2.2.1 Generate Solar Power,0.96,0.404,3.773,0.209,0.023,0.0
P.7,P.7 Quality Consistency,P.7 Quality Consistency,6.2.1 Evaluate Performance Metrics (Autonomous analysis),1.287,0.545,5.06,0.282,0.004,0.0
P.7,P.7 Quality Consistency,P.7 Quality Consistency,1.1.7 Monitor Fiber Quality,1.074,0.484,4.205,0.19,0.018,0.0
P.7,P.7 Quality Consistency,P.7 Quality Consistency,4.2.5 Store Manufactured Product,0.921,0.462,3.652,0.019,0.022,0.0
P.7,P.7 Quality Consistency,P.7 Quality Consistency,4.1.5 Transfer Preform to Production,0.918,0.57,3.245,0.186,0.038,0.0
P.7,P.7 Quality Consistency,P.7 Quality Consistency,1.2.3 Detect Production Anomalies,0.907,0.541,3.245,0.19,0.038,0.0
P.6,P.6 Production Continuity,P.6 Production Continuity,1.1.7 Monitor Fiber Quality,1.566,0.458,6.788,0.1,0.054,0.0
P.6,P.6 Production Continuity,P.6 Production Continuity,5.1.1 Initiate System Restarts,1.369,0.436,5.853,0.061,0.122,0.0
P.6,P.6 Production Continuity,P.6 Production Continuity,4.1.5 Transfer Preform to Production,0.888,0.535,3.245,0.114,0.028,0.0
